county_desc	precinct_abbrv	vtd_abbrv	age	party_cd	race_code	ethnic_code	sex_code	total_voters	election_date	stats_type	update_date	voting_method	voting_method_desc	voted_party_cd
CARTERET	OTBEG	OTST	Age 26 - 40	REP	W	UN	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
WAKE	06-07	06-07	Age 41 - 65	REP	A	NL	M	4	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
DURHAM	22	22	Age 26 - 40	UNA	W	NL	F	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
FORSYTH	011	011	Age Over 66	DEM	M	UN	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
ORANGE	CO	CO	Age 41 - 65	UNA	B	NL	F	1	11/03/2020	history	01/13/2021	TRANSFER	TRANSFER	UNA
MECKLENBURG	215	215	Age 26 - 40	UNA	B	NL	M	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
MECKLENBURG	046	046	Age 41 - 65	UNA	M	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
GUILFORD	G45	G45	Age Over 66	UNA	B	NL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
JOHNSTON	PR26	PR26	Age 18 - 25	UNA	W	UN	M	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
NASH	P07A	0012	Age 26 - 40	UNA	W	NL	F	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
HERTFORD	A1	A1	Age 41 - 65	UNA	W	NL	M	5	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
ALAMANCE	09S	09S	Age 41 - 65	REP	W	UN	F	32	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
WAKE	17-04	17-04	Age 41 - 65	UNA	W	NL	F	89	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
HENDERSON	CV	HV-2	Age Over 66	REP	W	UN	M	9	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
NASH	P18A	0038	Age 26 - 40	UNA	U	UN	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
COLUMBUS	P02B	P02	Age 41 - 65	UNA	B	NL	F	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
WAKE	20-03	20-03	Age 18 - 25	UNA	O	HL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
BERTIE	C2	C2	Age Over 66	DEM	W	NL	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
CUMBERLAND	CU02	CU02	Age 26 - 40	UNA	O	HL	M	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
MECKLENBURG	145	145	Age Over 66	DEM	W	NL	F	4	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	DEM
CABARRUS	09-00	09-00	Age 41 - 65	DEM	B	UN	M	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
CUMBERLAND	CC07	CC07	Age 26 - 40	UNA	W	UN	F	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
CUMBERLAND	AH49	AH49	Age 26 - 40	UNA	U	UN	U	10	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
VANCE	SCRK	SCRK	Age 26 - 40	DEM	O	NL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
GUILFORD	G53	G53	Age 26 - 40	UNA	W	NL	M	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
CRAVEN	16	16	Age Over 66	REP	W	NL	M	12	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	REP
IREDELL	CC1	CC1	Age 41 - 65	REP	W	UN	M	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	REP
DURHAM	34-2	34	Age 26 - 40	UNA	B	NL	M	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
ONSLOW	JA01	JA01	Age 18 - 25	REP	U	HL	M	5	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
MECKLENBURG	220	220	Age Over 66	DEM	O	HL	M	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
RANDOLPH	BC	13	Age 41 - 65	REP	W	UN	M	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
WAKE	16-01	16-01	Age Over 66	UNA	W	UN	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
WAKE	04-20	04-20	Age 18 - 25	DEM	O	HL	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
DAVIDSON	52	52	Age Over 66	DEM	B	NL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
FORSYTH	083	083	Age 18 - 25	GRE	U	UN	U	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	GRE
LENOIR	FC	FC	Age Over 66	DEM	O	UN	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
CUMBERLAND	G2B	G2	Age 26 - 40	UNA	B	NL	M	11	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
ROBESON	11	11	Age 41 - 65	REP	O	HL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
BURKE	0013	0013	Age 41 - 65	DEM	W	NL	M	1	11/03/2020	history	01/13/2021	CURBSIDE	CURBSIDE	DEM
TRANSYLVANIA	TC1	GL	Age 26 - 40	UNA	W	HL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
BURKE	0047-A	0047	Age 41 - 65	UNA	U	UN	U	3	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
CHATHAM	45	45	Age 41 - 65	DEM	W	UN	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
IREDELL	ST5	ST5	Age 41 - 65	DEM	W	UN	M	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
IREDELL	ST3	ST3	Age 41 - 65	DEM	U	HL	M	5	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
CATAWBA	14	14	Age 18 - 25	UNA	U	UN	U	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
CUMBERLAND	CC26	CC26	Age Over 66	UNA	W	NL	F	7	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
CLEVELAND	KM S	KM4	Age 41 - 65	DEM	B	NL	M	3	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	DEM
WAKE	01-12	01-12	Age 26 - 40	REP	B	NL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
UNION	017A	017A	Age 41 - 65	DEM	B	UN	F	10	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
JOHNSTON	PR29B	PR29B	Age 41 - 65	DEM	U	UN	U	6	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
WAKE	01-11	01-11	Age 41 - 65	DEM	U	HL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
CLEVELAND	KM S	KM3	Age Over 66	DEM	W	NL	F	28	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
GUILFORD	JAM1	JAM1	Age Over 66	UNA	U	UN	U	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
CUMBERLAND	CC17	CC17	Age 26 - 40	DEM	B	UN	F	1	11/03/2020	history	01/13/2021	TRANSFER	TRANSFER	DEM
UNION	011	011	Age 41 - 65	DEM	B	NL	M	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	DEM
LINCOLN	NB35	NB09	Age Over 66	DEM	U	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
CUMBERLAND	G9B-1	G9	Age 41 - 65	DEM	B	UN	U	4	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
ROCKINGHAM	SE	WM	Age 18 - 25	UNA	W	UN	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
MECKLENBURG	219	219	Age 26 - 40	UNA	W	NL	M	8	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
CLAY	HAY2	HAY2	Age 18 - 25	REP	W	UN	U	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
UNION	038A	038A	Age 41 - 65	REP	U	NL	M	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
ORANGE	TO	TO	Age 18 - 25	REP	B	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
FORSYTH	051	051	Age 41 - 65	UNA	A	UN	F	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
WAKE	05-07	05-04	Age 18 - 25	DEM	B	NL	F	4	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
MECKLENBURG	074	074	Age 26 - 40	REP	O	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
PERQUIMANS	WEST H	WEST-H	Age 26 - 40	UNA	W	UN	M	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
CHEROKEE	HOTH	HOTH	Age 26 - 40	REP	W	NL	M	3	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
CHATHAM	ESC114	ESC114	Age 26 - 40	UNA	M	HL	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
ORANGE	GB	GB	Age 41 - 65	DEM	U	UN	U	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
GUILFORD	H10	H10	Age 26 - 40	REP	W	NL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
BLADEN	P65	P65	Age 26 - 40	DEM	O	HL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
MCDOWELL	PLEASA	PLEASA	Age 26 - 40	DEM	W	HL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
HARNETT	PR26	PR26	Age 41 - 65	DEM	W	NL	F	66	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
WAYNE	29	29	Age 41 - 65	DEM	B	UN	M	4	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	DEM
PASQUOTANK	NIX	NIX	Age 41 - 65	UNA	B	UN	M	4	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
MECKLENBURG	064	064	Age 41 - 65	DEM	U	HL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
MECKLENBURG	143	143	Age 41 - 65	DEM	M	UN	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
DURHAM	38	38	Age 26 - 40	GRE	U	UN	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	GRE
CURRITUCK	PP	PP	Age 26 - 40	LIB	W	NL	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	LIB
ORANGE	WD	WD	Age 41 - 65	UNA	U	UN	F	6	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
MECKLENBURG	038	038	Age Over 66	DEM	B	NL	F	5	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
JOHNSTON	PR25	PR25	Age 41 - 65	DEM	B	UN	U	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
ORANGE	DM	DM	Age 18 - 25	UNA	W	UN	M	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
MONTGOMERY	BIS	BIS	Age 41 - 65	UNA	W	UN	M	5	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
ALLEGHANY	01	01	Age Over 66	UNA	W	UN	M	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
WAKE	06-09	06-01	Age 18 - 25	DEM	B	UN	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
CABARRUS	01-02	01-02	Age Over 66	UNA	W	NL	M	8	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
DURHAM	47	47	Age 26 - 40	DEM	B	NL	M	27	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
DURHAM	37	37	Age 41 - 65	DEM	W	HL	F	3	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
ROCKINGHAM	WS	AV	Age 18 - 25	UNA	W	NL	F	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
MOORE	PHB1	PHB1	Age Over 66	UNA	W	NL	M	1	11/03/2020	history	01/13/2021	CURBSIDE	CURBSIDE	UNA
BUNCOMBE	40.2	107.1	Age 26 - 40	DEM	W	UN	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
GUILFORD	G47	G47	Age 18 - 25	REP	W	NL	F	3	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
TRANSYLVANIA	TC7	SW	Age Over 66	REP	W	UN	M	7	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
NEW HANOVER	H10	H07	Age 18 - 25	REP	O	UN	M	1	11/03/2020	history	01/13/2021	TRANSFER	TRANSFER	REP
PITT	0301	0301	Age 26 - 40	DEM	B	UN	F	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	DEM
RANDOLPH	SE	27	Age Over 66	REP	U	UN	U	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	REP
WAKE	08-03	08-03	Age 41 - 65	REP	W	HL	M	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
MECKLENBURG	213	213	Age 41 - 65	DEM	I	NL	F	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
WILSON	PRWC	PRWC	Age Over 66	DEM	B	NL	M	36	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
MECKLENBURG	105	105	Age 18 - 25	UNA	W	HL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
ROWAN	10	10	Age 26 - 40	REP	W	NL	F	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	REP
PITT	1509	1509	Age 18 - 25	DEM	O	UN	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
GASTON	22	22	Age 26 - 40	UNA	U	UN	U	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	UNA
JOHNSTON	PR28	PR28	Age 18 - 25	UNA	O	HL	M	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
ALAMANCE	035	035	Age 26 - 40	DEM	U	HL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
STOKES	12	12	Age Over 66	DEM	W	NL	F	8	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
WILKES	108	108	Age Over 66	UNA	U	UN	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
HOKE	06B	06	Age 26 - 40	DEM	B	NL	F	69	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
NEW HANOVER	M02	M02	Age 41 - 65	UNA	W	UN	U	6	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
BRUNSWICK	15	15	Age Over 66	REP	W	UN	M	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
UNION	041	041	Age 18 - 25	UNA	A	NL	F	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
CHOWAN	6	6	Age 41 - 65	UNA	W	NL	M	3	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
WAKE	09-02	09-02	Age 18 - 25	REP	W	HL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
BUNCOMBE	56.2	102.1	Age 26 - 40	LIB	W	UN	M	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	LIB
WAKE	09-03	09-03	Age 26 - 40	UNA	B	NL	M	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
GASTON	15	15	Age 41 - 65	DEM	W	HL	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
WAKE	01-42	01-42	Age 18 - 25	UNA	O	UN	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
MARTIN	J	J	Age Over 66	REP	W	NL	F	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
CRAVEN	N2	N2	Age 41 - 65	UNA	W	UN	M	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
MECKLENBURG	240	240	Age 18 - 25	DEM	W	NL	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
GUILFORD	G04	G04	Age 41 - 65	DEM	M	NL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
GUILFORD	G74	G74	Age 18 - 25	UNA	B	NL	M	10	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
MADISON	BEECH	BEECH	Age 18 - 25	REP	W	NL	F	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
WAKE	19-20	19-04	Age 26 - 40	UNA	W	NL	M	6	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
DAVIE	13	13	Age Over 66	REP	U	UN	U	7	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
ALAMANCE	08S	08S	Age 18 - 25	UNA	W	NL	F	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
CUMBERLAND	SH77	SH77	Age 41 - 65	DEM	O	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
ORANGE	DM	DM	Age Over 66	DEM	W	NL	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
ROWAN	41	41	Age 41 - 65	REP	U	HL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
ORANGE	CS1	CS1	Age Over 66	UNA	W	NL	M	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	UNA
WAKE	18-03	18-03	Age Over 66	UNA	W	UN	M	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
NEW HANOVER	H11	H07	Age Over 66	REP	W	NL	M	25	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	REP
NASH	P03A	0006	Age 41 - 65	REP	I	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
LINCOLN	TA37	TR30	Age 18 - 25	DEM	B	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
HALIFAX	RRCE	RR-5	Age 41 - 65	REP	W	UN	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
ALEXANDER	M	M	Age 41 - 65	UNA	B	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
GRANVILLE	CRDM	CRDM	Age Over 66	UNA	W	NL	M	12	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	UNA
BURKE	0012	0012	Age 41 - 65	UNA	W	NL	F	3	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
FRANKLIN	13	13	Age 18 - 25	DEM	U	HL	F	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
DAVIDSON	34	34	Age 41 - 65	DEM	U	UN	U	2	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	DEM
BRUNSWICK	21	21	Age 26 - 40	LIB	M	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	LIB
GUILFORD	G61	G61	Age Over 66	UNA	W	NL	F	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
MADISON	WALNUT	WALNUT	Age Over 66	DEM	W	NL	M	24	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
RANDOLPH	SO	14	Age Over 66	UNA	W	NL	F	2	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	UNA
CATAWBA	02	02	Age 26 - 40	REP	W	NL	M	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	REP
MCDOWELL	HIGGIN	HIGGIN	Age 41 - 65	UNA	W	UN	F	6	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
MECKLENBURG	011	011	Age 26 - 40	DEM	W	UN	M	37	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
GASTON	13	13	Age 41 - 65	DEM	B	UN	M	3	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
VANCE	HTOP	HTOP	Age 41 - 65	UNA	W	NL	M	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
WAKE	08-06	08-06	Age 26 - 40	DEM	B	UN	F	4	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
NEW HANOVER	H11	H07	Age Over 66	UNA	I	NL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
ROWAN	23	23	Age 41 - 65	REP	U	UN	U	5	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
BUNCOMBE	36.1	36.1	Age 41 - 65	UNA	W	NL	F	10	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
