county_desc	election_date	stats_type	precinct_abbrv	vtd_abbrv	party_cd	race_code	ethnic_code	sex_code	age	total_voters	update_date
WAKE	11/03/2020	voter	08-04	08-04	DEM	W	NL	F	Age 41 - 65	101	
WAKE	11/03/2020	voter	08-06	08-06	DEM	A	NL	M	Age 41 - 65	3	
WAKE	11/03/2020	voter	06-09	06-01	UNA	O	HL	M	Age 41 - 65	5	
DAVIE	11/03/2020	voter	04	04	DEM	W	UN	F	Age Over 66	1	
ROBESON	11/03/2020	voter	11	11	UNA	U	NL	F	Age Over 66	4	
CLEVELAND	11/03/2020	voter	KM S	KM4	REP	U	NL	F	Age 41 - 65	1	
FORSYTH	11/03/2020	voter	131	131	DEM	A	NL	F	Age 41 - 65	5	
WAKE	11/03/2020	voter	02-05	02-05	UNA	B	UN	M	Age 18 - 25	2	
PITT	11/03/2020	voter	1510B	1510B	DEM	U	UN	M	Age 26 - 40	1	
LEE	11/03/2020	voter	D1	D	DEM	U	NL	F	Age 18 - 25	1	
MECKLENBURG	11/03/2020	voter	025	025	UNA	B	UN	M	Age 41 - 65	20	
WAKE	11/03/2020	voter	07-02	07-02	DEM	B	NL	F	Age 26 - 40	21	
CUMBERLAND	11/03/2020	voter	CC18	CC18	UNA	A	UN	U	Age 41 - 65	1	
FRANKLIN	11/03/2020	voter	17	17	UNA	B	NL	F	Age 41 - 65	10	
BUNCOMBE	11/03/2020	voter	10.1	10.1	UNA	O	UN	F	Age Over 66	1	
CASWELL	11/03/2020	voter	STON	STON	UNA	W	NL	F	Age 26 - 40	52	
MECKLENBURG	11/03/2020	voter	119	119	UNA	A	NL	F	Age 41 - 65	7	
HALIFAX	11/03/2020	voter	ENF1	ENF-1	DEM	I	NL	M	Age 26 - 40	1	
UNION	11/03/2020	voter	023	023	DEM	O	HL	M	Age 26 - 40	3	
ROWAN	11/03/2020	voter	34	34	DEM	U	HL	F	Age 18 - 25	2	
MOORE	11/03/2020	voter	PHB2	PHB2	DEM	I	NL	F	Age 41 - 65	1	
WAKE	11/03/2020	voter	01-40	01-40	UNA	I	UN	M	Age 18 - 25	2	
